order_id,customer_id,order_date,status
1,454,2023-08-13,returned
2,337,2023-10-10,completed
3,111,2023-10-03,placed
4,232,2023-09-15,shipped
5,452,2023-10-08,placed
6,1,2023-09-17,returned
7,47,2023-09-28,completed
8,22,2023-10-12,placed
9,134,2023-09-19,returned
10,60,2023-08-20,returned
11,41,2023-08-08,shipped
12,115,2023-10-05,shipped
13,461,2023-10-10,return_pending
14,100,2023-08-05,returned
15,391,2023-07-23,completed
16,418,2023-09-17,placed
17,246,2023-07-04,completed
18,369,2023-08-04,returned
19,371,2023-07-18,completed
20,461,2023-09-02,completed
21,12,2023-10-11,placed
22,352,2023-09-28,placed
23,492,2023-08-30,placed
24,81,2023-08-11,completed
25,9,2023-09-24,returned
26,385,2023-09-10,placed
27,469,2023-09-14,shipped
28,405,2023-09-02,returned
29,46,2023-10-06,placed
30,430,2023-08-15,return_pending
31,301,2023-09-22,returned
32,334,2023-08-08,placed
33,299,2023-07-20,returned
34,125,2023-07-01,completed
35,368,2023-10-04,return_pending
36,425,2023-10-08,completed
37,179,2023-10-13,shipped
38,332,2023-08-25,placed
39,189,2023-10-15,placed
40,353,2023-08-10,placed
41,303,2023-07-03,return_pending
42,317,2023-09-16,returned
43,200,2023-07-07,return_pending
44,348,2023-07-11,returned
45,382,2023-07-22,completed
46,157,2023-10-06,completed
47,401,2023-08-27,placed
48,201,2023-08-13,completed
49,122,2023-08-06,return_pending
50,100,2023-09-04,shipped
51,206,2023-10-11,placed
52,309,2023-08-03,return_pending
53,441,2023-07-08,shipped
54,405,2023-08-30,shipped
55,128,2023-07-04,returned
56,128,2023-09-24,return_pending
57,427,2023-08-24,placed
58,211,2023-08-15,return_pending
59,80,2023-08-04,placed
60,462,2023-09-16,completed
61,77,2023-07-17,returned
62,498,2023-07-13,placed
63,206,2023-07-21,returned
64,425,2023-08-12,completed
65,381,2023-09-08,completed
66,68,2023-10-08,completed
67,117,2023-08-17,shipped
68,243,2023-07-02,returned
69,436,2023-09-15,return_pending
70,452,2023-07-10,placed
71,451,2023-07-26,shipped
72,334,2023-07-25,completed
73,403,2023-09-09,completed
74,190,2023-09-17,shipped
75,360,2023-09-08,return_pending
76,295,2023-09-09,shipped
77,497,2023-07-18,shipped
78,426,2023-08-02,returned
79,282,2023-08-28,placed
80,163,2023-07-26,shipped
81,254,2023-09-24,returned
82,101,2023-07-13,return_pending
83,420,2023-10-14,returned
84,239,2023-09-17,completed
85,429,2023-07-19,return_pending
86,128,2023-07-02,completed
87,109,2023-10-14,completed
88,58,2023-08-07,return_pending
89,140,2023-08-21,return_pending
90,286,2023-08-11,completed
91,22,2023-08-20,completed
92,54,2023-07-23,completed
93,374,2023-09-06,placed
94,51,2023-08-31,shipped
95,490,2023-07-17,return_pending
96,128,2023-09-28,placed
97,28,2023-09-09,return_pending
98,98,2023-08-31,completed
99,318,2023-07-02,returned
100,72,2023-07-08,returned
101,248,2023-07-18,returned
102,328,2023-08-16,shipped
103,481,2023-08-19,shipped
104,400,2023-08-20,completed
105,365,2023-09-18,shipped
106,98,2023-08-06,returned
107,364,2023-07-14,returned
108,493,2023-10-10,shipped
109,338,2023-10-09,returned
110,404,2023-07-14,return_pending
111,95,2023-08-04,completed
112,327,2023-07-27,completed
113,430,2023-08-09,return_pending
114,296,2023-07-20,placed
115,193,2023-08-30,completed
116,367,2023-07-18,completed
117,324,2023-07-19,return_pending
118,462,2023-08-10,shipped
119,317,2023-10-13,completed
120,182,2023-08-06,returned
121,452,2023-08-31,placed
122,349,2023-07-26,placed
123,384,2023-08-05,return_pending
124,116,2023-08-13,returned
125,391,2023-08-05,placed
126,123,2023-09-30,placed
127,464,2023-09-07,placed
128,368,2023-07-24,placed
129,492,2023-09-05,returned
130,266,2023-09-04,shipped
131,117,2023-09-17,placed
132,387,2023-09-16,return_pending
133,246,2023-07-31,placed
134,458,2023-08-30,placed
135,473,2023-08-07,returned
136,105,2023-08-05,completed
137,351,2023-09-15,return_pending
138,103,2023-10-10,completed
139,500,2023-07-01,completed
140,488,2023-08-30,shipped
141,322,2023-08-24,returned
142,189,2023-08-23,shipped
143,217,2023-07-25,return_pending
144,71,2023-07-10,completed
145,486,2023-09-16,returned
146,370,2023-09-11,completed
147,496,2023-08-04,returned
148,13,2023-08-22,shipped
149,76,2023-09-22,placed
150,120,2023-07-16,completed
151,390,2023-07-07,returned
152,472,2023-09-04,returned
153,21,2023-09-30,shipped
154,244,2023-09-01,returned
155,89,2023-08-22,return_pending
156,120,2023-08-31,completed
157,378,2023-07-23,completed
158,135,2023-08-03,returned
159,395,2023-09-22,shipped
160,388,2023-10-11,completed
161,229,2023-08-04,completed
162,397,2023-10-16,returned
163,439,2023-07-07,completed
164,366,2023-08-05,return_pending
165,433,2023-10-02,shipped
166,158,2023-07-29,returned
167,134,2023-07-31,completed
168,2,2023-09-05,return_pending
169,340,2023-09-20,return_pending
170,314,2023-10-14,shipped
171,120,2023-09-01,return_pending
172,210,2023-07-07,completed
173,70,2023-10-09,returned
174,12,2023-07-06,placed
175,157,2023-07-06,placed
176,40,2023-07-20,return_pending
177,241,2023-09-29,placed
178,252,2023-07-21,completed
179,397,2023-07-23,shipped
180,368,2023-09-18,placed
181,142,2023-07-20,placed
182,113,2023-07-23,placed
183,343,2023-07-24,shipped
184,339,2023-07-25,completed
185,157,2023-07-08,returned
186,472,2023-09-04,returned
187,295,2023-08-20,completed
188,6,2023-08-02,returned
189,149,2023-08-04,placed
190,42,2023-09-26,return_pending
191,315,2023-08-14,shipped
192,107,2023-07-07,returned
193,418,2023-09-03,return_pending
194,331,2023-07-26,placed
195,306,2023-08-29,return_pending
196,167,2023-07-02,completed
197,20,2023-10-01,return_pending
198,80,2023-09-30,shipped
199,176,2023-09-10,completed
200,492,2023-10-16,shipped
201,282,2023-09-18,completed
202,8,2023-07-28,return_pending
203,477,2023-08-04,completed
204,410,2023-08-16,placed
205,82,2023-07-01,placed
206,173,2023-07-03,returned
207,342,2023-08-09,returned
208,215,2023-09-22,returned
209,276,2023-07-13,completed
210,221,2023-09-30,completed
211,372,2023-07-08,return_pending
212,367,2023-09-11,completed
213,348,2023-07-25,shipped
214,411,2023-07-30,return_pending
215,229,2023-10-05,returned
216,233,2023-09-20,return_pending
217,262,2023-07-22,completed
218,149,2023-08-19,returned
219,154,2023-09-15,shipped
220,306,2023-07-21,placed
221,135,2023-08-31,placed
222,21,2023-09-07,completed
223,243,2023-09-24,shipped
224,61,2023-07-08,returned
225,286,2023-09-19,shipped
226,235,2023-08-03,shipped
227,371,2023-08-03,placed
228,217,2023-08-22,return_pending
229,213,2023-08-05,completed
230,43,2023-07-28,placed
231,450,2023-09-18,returned
232,273,2023-07-28,return_pending
233,130,2023-08-28,shipped
234,91,2023-08-28,returned
235,169,2023-09-04,return_pending
236,284,2023-09-15,return_pending
237,75,2023-08-20,return_pending
238,32,2023-07-17,shipped
239,482,2023-09-18,shipped
240,18,2023-09-27,return_pending
241,420,2023-10-13,completed
242,59,2023-09-02,completed
243,128,2023-08-01,returned
244,263,2023-10-07,shipped
245,220,2023-09-02,returned
246,322,2023-08-24,shipped
247,398,2023-07-31,returned
248,230,2023-07-08,placed
249,248,2023-07-23,returned
250,249,2023-08-18,return_pending
251,40,2023-10-03,shipped
252,344,2023-07-22,returned
253,309,2023-08-18,placed
254,365,2023-08-22,return_pending
255,214,2023-08-09,return_pending
256,481,2023-09-13,return_pending
257,428,2023-07-16,completed
258,199,2023-08-23,return_pending
259,360,2023-10-11,returned
260,334,2023-09-01,returned
261,268,2023-08-30,completed
262,391,2023-09-02,shipped
263,453,2023-08-01,returned
264,435,2023-07-31,returned
265,219,2023-10-10,placed
266,173,2023-10-10,return_pending
267,380,2023-09-11,returned
268,184,2023-07-15,shipped
269,434,2023-08-20,shipped
270,54,2023-07-21,shipped
271,233,2023-07-04,completed
272,5,2023-07-10,shipped
273,390,2023-07-28,return_pending
274,33,2023-09-02,placed
275,324,2023-09-22,completed
276,84,2023-10-04,completed
277,105,2023-08-10,placed
278,305,2023-07-14,placed
279,114,2023-07-10,shipped
280,427,2023-09-25,placed
281,206,2023-07-27,returned
282,56,2023-08-23,return_pending
283,433,2023-09-12,completed
284,290,2023-07-17,completed
285,89,2023-09-03,placed
286,286,2023-08-01,returned
287,335,2023-07-11,completed
288,253,2023-08-26,placed
289,248,2023-08-10,return_pending
290,382,2023-07-27,return_pending
291,172,2023-07-05,completed
292,397,2023-09-09,returned
293,82,2023-10-02,return_pending
294,143,2023-07-24,return_pending
295,442,2023-08-16,returned
296,368,2023-08-03,returned
297,261,2023-07-11,completed
298,30,2023-09-26,return_pending
299,189,2023-07-11,completed
300,212,2023-08-10,return_pending
301,343,2023-09-27,return_pending
302,119,2023-07-10,shipped
303,398,2023-08-27,return_pending
304,152,2023-10-04,returned
305,134,2023-07-16,completed
306,255,2023-07-10,placed
307,329,2023-07-20,return_pending
308,217,2023-08-16,shipped
309,42,2023-09-29,shipped
310,219,2023-09-29,placed
311,29,2023-10-12,return_pending
312,471,2023-07-08,returned
313,379,2023-08-13,shipped
314,335,2023-10-15,completed
315,349,2023-09-04,return_pending
316,315,2023-07-06,returned
317,63,2023-08-08,return_pending
318,173,2023-08-11,completed
319,480,2023-07-26,placed
320,424,2023-07-05,completed
321,394,2023-07-18,returned
322,25,2023-07-26,placed
323,258,2023-08-24,returned
324,295,2023-08-27,return_pending
325,307,2023-08-14,completed
326,498,2023-07-02,placed
327,200,2023-07-02,return_pending
328,470,2023-08-21,shipped
329,196,2023-09-19,placed
330,157,2023-07-11,placed
331,196,2023-08-06,return_pending
332,382,2023-08-13,completed
333,241,2023-08-08,completed
334,298,2023-08-05,placed
335,97,2023-09-12,returned
336,165,2023-08-05,shipped
337,443,2023-10-16,shipped
338,421,2023-07-30,return_pending
339,477,2023-10-12,completed
340,199,2023-07-27,placed
341,66,2023-07-07,placed
342,152,2023-10-12,shipped
343,254,2023-08-03,placed
344,189,2023-07-22,return_pending
345,380,2023-08-28,return_pending
346,148,2023-08-01,completed
347,283,2023-10-08,shipped
348,18,2023-07-20,returned
349,248,2023-08-14,returned
350,453,2023-09-05,placed
351,294,2023-07-15,shipped
352,382,2023-07-02,completed
353,316,2023-09-07,return_pending
354,207,2023-07-27,completed
355,369,2023-09-22,returned
356,445,2023-10-09,completed
357,39,2023-07-19,completed
358,330,2023-08-24,placed
359,358,2023-07-18,returned
360,341,2023-08-11,return_pending
361,245,2023-08-03,shipped
362,270,2023-09-12,returned
363,238,2023-10-09,placed
364,130,2023-07-06,placed
365,245,2023-09-12,returned
366,128,2023-08-29,return_pending
367,291,2023-08-01,returned
368,114,2023-09-15,completed
369,389,2023-07-20,completed
370,180,2023-07-21,return_pending
371,488,2023-08-05,completed
372,118,2023-07-25,shipped
373,16,2023-08-27,placed
374,101,2023-09-15,return_pending
375,340,2023-07-11,completed
376,79,2023-07-10,shipped
377,102,2023-10-11,shipped
378,158,2023-08-24,placed
379,138,2023-08-19,placed
380,265,2023-07-24,placed
381,198,2023-09-05,shipped
382,485,2023-07-06,placed
383,446,2023-08-16,return_pending
384,460,2023-07-15,return_pending
385,141,2023-08-22,shipped
386,177,2023-10-12,shipped
387,448,2023-09-21,completed
388,284,2023-07-24,shipped
389,331,2023-09-26,returned
390,190,2023-07-24,shipped
391,79,2023-10-07,completed
392,383,2023-07-27,completed
393,489,2023-07-05,placed
394,137,2023-08-14,returned
395,95,2023-07-15,completed
396,363,2023-07-15,returned
397,189,2023-07-18,returned
398,357,2023-07-30,shipped
399,477,2023-08-07,return_pending
400,342,2023-07-03,placed
401,30,2023-10-04,returned
402,327,2023-08-07,placed
403,122,2023-08-09,return_pending
404,279,2023-07-19,completed
405,317,2023-07-20,completed
406,392,2023-07-26,placed
407,382,2023-10-15,returned
408,278,2023-07-08,shipped
409,252,2023-07-15,placed
410,206,2023-09-27,completed
411,2,2023-10-09,completed
412,267,2023-08-15,completed
413,401,2023-10-06,return_pending
414,463,2023-10-15,returned
415,188,2023-09-23,completed
416,368,2023-09-02,placed
417,278,2023-09-11,shipped
418,99,2023-08-10,placed
419,299,2023-09-03,returned
420,15,2023-09-05,shipped
421,445,2023-08-29,return_pending
422,85,2023-08-27,shipped
423,307,2023-07-18,completed
424,51,2023-07-26,return_pending
425,157,2023-10-15,return_pending
426,1,2023-08-14,return_pending
427,246,2023-08-05,placed
428,198,2023-08-29,completed
429,448,2023-07-28,returned
430,57,2023-07-24,returned
431,27,2023-10-08,return_pending
432,174,2023-07-24,placed
433,215,2023-08-23,shipped
434,77,2023-10-05,completed
435,276,2023-07-07,completed
436,261,2023-09-26,placed
437,457,2023-09-28,shipped
438,482,2023-07-03,shipped
439,376,2023-08-08,placed
440,173,2023-10-01,return_pending
441,470,2023-08-28,return_pending
442,352,2023-07-26,shipped
443,116,2023-09-04,completed
444,496,2023-07-07,completed
445,331,2023-08-12,completed
446,307,2023-07-30,returned
447,418,2023-09-07,completed
448,12,2023-09-01,shipped
449,46,2023-10-03,return_pending
450,297,2023-09-06,shipped
451,50,2023-09-26,return_pending
452,398,2023-09-24,returned
453,319,2023-09-16,return_pending
454,185,2023-08-02,return_pending
455,62,2023-09-01,shipped
456,359,2023-08-30,placed
457,212,2023-09-07,shipped
458,293,2023-09-04,returned
459,380,2023-08-09,shipped
460,453,2023-07-11,placed
461,408,2023-08-23,return_pending
462,165,2023-10-06,completed
463,113,2023-07-17,placed
464,70,2023-09-06,shipped
465,251,2023-08-26,completed
466,149,2023-08-30,completed
467,159,2023-10-06,completed
468,67,2023-10-03,return_pending
469,89,2023-08-18,completed
470,33,2023-07-14,completed
471,265,2023-08-21,shipped
472,29,2023-09-14,placed
473,176,2023-07-07,return_pending
474,413,2023-08-19,shipped
475,462,2023-08-09,return_pending
476,260,2023-10-13,placed
477,248,2023-07-05,completed
478,148,2023-08-31,completed
479,96,2023-07-23,return_pending
480,348,2023-08-12,shipped
481,473,2023-07-25,placed
482,114,2023-09-22,placed
483,476,2023-07-27,returned
484,449,2023-09-24,return_pending
485,497,2023-07-09,placed
486,294,2023-08-09,return_pending
487,483,2023-10-01,shipped
488,145,2023-08-28,return_pending
489,408,2023-08-11,completed
490,436,2023-07-14,shipped
491,164,2023-09-23,returned
492,143,2023-09-10,completed
493,341,2023-08-14,completed
494,392,2023-08-01,returned
495,459,2023-09-28,completed
496,363,2023-08-20,return_pending
497,107,2023-07-03,shipped
498,498,2023-08-17,placed
499,223,2023-08-27,return_pending
500,344,2023-08-30,returned
501,117,2023-07-08,shipped
502,343,2023-09-01,completed
503,149,2023-09-07,placed
504,472,2023-07-24,shipped
505,4,2023-08-19,placed
506,199,2023-08-09,returned
507,104,2023-08-17,completed
508,35,2023-09-22,return_pending
509,58,2023-09-02,shipped
510,130,2023-10-10,shipped
511,378,2023-09-20,returned
512,445,2023-09-14,completed
513,16,2023-08-28,placed
514,141,2023-10-13,shipped
515,69,2023-07-11,returned
516,357,2023-09-22,returned
517,396,2023-08-14,shipped
518,105,2023-07-20,completed
519,313,2023-08-13,completed
520,52,2023-10-11,placed
521,446,2023-07-25,shipped
522,194,2023-10-14,returned
523,427,2023-09-29,return_pending
524,288,2023-08-25,placed
525,477,2023-08-24,returned
526,440,2023-10-15,return_pending
527,32,2023-08-22,return_pending
528,119,2023-10-04,return_pending
529,195,2023-08-28,return_pending
530,449,2023-08-02,placed
531,69,2023-09-28,placed
532,33,2023-08-30,shipped
533,233,2023-08-21,returned
534,184,2023-07-08,placed
535,391,2023-08-19,returned
536,35,2023-07-17,placed
537,206,2023-08-07,placed
538,423,2023-09-04,return_pending
539,499,2023-09-25,placed
540,93,2023-10-09,shipped
541,26,2023-09-29,completed
542,247,2023-07-20,completed
543,109,2023-09-16,returned
544,6,2023-07-12,placed
545,408,2023-08-20,shipped
546,291,2023-09-17,completed
547,121,2023-10-09,placed
548,337,2023-09-14,return_pending
549,239,2023-08-23,shipped
550,360,2023-07-30,shipped
551,290,2023-08-11,returned
552,442,2023-07-16,return_pending
553,230,2023-07-16,placed
554,466,2023-10-10,placed
555,447,2023-09-18,placed
556,44,2023-09-22,completed
557,266,2023-09-19,returned
558,113,2023-10-12,returned
559,1,2023-10-02,shipped
560,400,2023-07-30,placed
561,478,2023-10-06,return_pending
562,212,2023-09-02,shipped
563,329,2023-07-21,shipped
564,469,2023-07-18,return_pending
565,335,2023-09-03,shipped
566,312,2023-08-11,completed
567,188,2023-08-15,completed
568,52,2023-07-22,completed
569,442,2023-09-26,completed
570,275,2023-07-28,returned
571,305,2023-10-10,return_pending
572,82,2023-07-20,placed
573,365,2023-07-05,return_pending
574,304,2023-10-16,returned
575,26,2023-08-12,return_pending
576,292,2023-07-11,placed
577,279,2023-10-10,return_pending
578,368,2023-10-13,shipped
579,463,2023-07-26,returned
580,487,2023-07-15,placed
581,303,2023-08-12,return_pending
582,418,2023-07-17,return_pending
583,278,2023-10-12,placed
584,62,2023-10-07,placed
585,378,2023-08-05,placed
586,380,2023-10-01,shipped
587,264,2023-10-10,completed
588,190,2023-07-15,return_pending
589,447,2023-07-31,returned
590,268,2023-09-26,shipped
591,36,2023-07-16,shipped
592,339,2023-07-14,placed
593,293,2023-08-12,completed
594,126,2023-07-04,shipped
595,20,2023-08-14,shipped
596,9,2023-08-28,return_pending
597,466,2023-08-07,completed
598,380,2023-08-11,placed
599,370,2023-09-23,return_pending
600,183,2023-10-04,placed
601,58,2023-09-04,completed
602,14,2023-09-14,returned
603,361,2023-08-18,return_pending
604,225,2023-09-30,shipped
605,42,2023-08-05,shipped
606,283,2023-08-29,return_pending
607,392,2023-08-28,returned
608,399,2023-08-21,placed
609,218,2023-09-01,return_pending
610,428,2023-07-08,return_pending
611,76,2023-10-11,completed
612,298,2023-09-06,return_pending
613,79,2023-10-13,placed
614,279,2023-08-17,completed
615,436,2023-08-14,completed
616,489,2023-09-20,shipped
617,211,2023-10-16,shipped
618,386,2023-08-10,completed
619,485,2023-10-05,completed
620,425,2023-07-09,shipped
621,407,2023-09-20,shipped
622,6,2023-09-28,placed
623,265,2023-08-06,completed
624,320,2023-10-06,shipped
625,239,2023-08-28,shipped
626,344,2023-09-04,return_pending
627,490,2023-07-19,placed
628,53,2023-10-14,placed
629,200,2023-10-05,returned
630,13,2023-10-16,returned
631,402,2023-10-01,shipped
632,493,2023-09-15,completed
633,13,2023-08-08,shipped
634,11,2023-07-01,completed
635,279,2023-10-09,returned
636,233,2023-09-02,shipped
637,177,2023-07-03,completed
638,365,2023-09-23,return_pending
639,454,2023-09-26,placed
640,493,2023-10-03,returned
641,458,2023-08-07,shipped
642,380,2023-07-05,shipped
643,395,2023-10-06,returned
644,254,2023-09-12,placed
645,262,2023-08-24,placed
646,486,2023-08-29,placed
647,132,2023-07-16,shipped
648,35,2023-10-02,completed
649,100,2023-07-04,return_pending
650,41,2023-07-31,shipped
651,205,2023-09-15,placed
652,168,2023-10-04,shipped
653,178,2023-07-01,placed
654,203,2023-08-14,placed
655,224,2023-10-15,completed
656,452,2023-07-17,completed
657,345,2023-08-21,returned
658,40,2023-08-07,placed
659,86,2023-09-23,shipped
660,207,2023-09-23,completed
661,474,2023-09-15,completed
662,168,2023-10-03,completed
663,4,2023-09-12,return_pending
664,111,2023-09-12,completed
665,91,2023-09-17,placed
666,305,2023-08-15,return_pending
667,490,2023-08-29,shipped
668,162,2023-07-28,placed
669,496,2023-07-28,shipped
670,374,2023-07-09,completed
671,318,2023-09-21,returned
672,378,2023-09-28,placed
673,201,2023-07-16,placed
674,315,2023-09-19,shipped
675,22,2023-08-08,shipped
