payment_id,order_id,payment_method,amount
1,3531,coupon,6915
2,5327,gift_card,758
3,3671,gift_card,3629
4,422,gift_card,3036
5,5722,gift_card,4610
6,1927,bank_transfer,726
7,549,gift_card,1258
8,7448,bank_transfer,7346
9,8768,gift_card,4929
10,5608,bank_transfer,5553
11,7062,bank_transfer,1005
12,2156,credit_card,7253
13,5610,bank_transfer,5736
14,9118,credit_card,4501
15,4806,gift_card,3947
16,3002,gift_card,1344
17,7216,bank_transfer,6686
18,1849,credit_card,652
19,9698,bank_transfer,2354
20,2618,coupon,5520
21,1500,coupon,5676
22,3726,bank_transfer,998
23,6263,gift_card,6612
24,2748,gift_card,780
25,8423,bank_transfer,888
26,5325,bank_transfer,1986
27,2716,coupon,7802
28,7046,coupon,7545
29,9202,coupon,3121
30,7206,bank_transfer,7081
31,6526,gift_card,4289
32,3116,coupon,4532
33,2271,gift_card,2161
34,6411,credit_card,1888
35,7280,bank_transfer,1042
36,3438,bank_transfer,7037
37,5545,coupon,2617
38,2035,bank_transfer,128
39,7075,credit_card,5851
40,4779,coupon,237
41,9595,credit_card,140
42,6455,coupon,3094
43,4522,bank_transfer,1347
44,8856,credit_card,2765
45,7051,gift_card,3918
46,1495,credit_card,4764
47,1822,bank_transfer,7412
48,1052,coupon,1936
49,6028,credit_card,2401
50,6759,coupon,2182
51,4957,gift_card,6933
52,8013,bank_transfer,979
53,7798,coupon,3778
54,7994,coupon,7104
55,3046,gift_card,378
56,4550,bank_transfer,7675
57,8786,coupon,2368
58,6260,bank_transfer,7851
59,4871,gift_card,5548
60,1997,credit_card,5399
61,3464,bank_transfer,318
62,5995,credit_card,6306
63,7014,gift_card,4985
64,2285,credit_card,3373
65,253,credit_card,930
66,1809,credit_card,7063
67,5632,bank_transfer,4747
68,3414,credit_card,7490
69,8965,credit_card,6588
70,4389,coupon,3186
71,1367,credit_card,2810
72,4389,credit_card,6065
73,4161,bank_transfer,2242
74,2863,gift_card,5317
75,2355,bank_transfer,7627
76,554,gift_card,2919
77,6572,credit_card,4427
78,9202,credit_card,4049
79,4936,credit_card,3560
80,6303,gift_card,1087
81,7134,coupon,5969
82,8037,credit_card,777
83,8435,gift_card,5557
84,3578,bank_transfer,5153
85,7668,gift_card,7858
86,7830,credit_card,125
87,6380,credit_card,3300
88,3904,coupon,7526
89,6024,credit_card,2464
90,9427,coupon,1995
91,6039,credit_card,5377
92,2217,coupon,4754
93,806,bank_transfer,5870
94,8641,bank_transfer,2579
95,6018,bank_transfer,3151
96,2338,bank_transfer,5640
97,9361,coupon,4248
98,783,gift_card,7020
99,5845,gift_card,4339
100,3002,coupon,3190
101,7777,coupon,7032
102,3434,credit_card,530
103,1781,credit_card,6427
104,8574,coupon,6618
105,5983,gift_card,6132
106,9299,gift_card,4413
107,2079,gift_card,1418
108,8764,gift_card,4709
109,8127,bank_transfer,1919
110,8819,gift_card,743
111,1986,gift_card,4611
112,551,coupon,5558
113,4325,coupon,4484
